attendance,study_hours,assignments,quiz,lms_logins,engagement,missed_tasks,productivity,pass_probability,risk,expected_grade
87,3,2,31,12,50,3,48,38,High,At Risk
64,0,1,88,10,96,0,57,65,High,At Risk
73,0,2,65,2,69,4,32,27,High,At Risk
66,2,4,47,12,80,0,66,65,Medium,C
41,4,0,26,4,47,0,36,31,High,At Risk
99,0,3,89,4,100,5,49,47,High,At Risk
72,6,3,79,11,71,0,78,84,Medium,B
80,4,4,44,4,30,2,56,51,High,At Risk
45,4,1,44,8,61,3,38,31,High,At Risk
77,5,5,33,4,75,5,52,39,High,At Risk
94,1,0,56,1,75,0,46,47,High,At Risk
69,4,4,32,4,42,0,60,56,Medium,C
40,5,1,26,2,83,2,36,27,High,At Risk
73,4,5,58,2,67,1,67,67,Medium,C
87,6,2,40,12,23,2,57,51,High,At Risk
91,3,2,92,1,53,5,44,42,High,At Risk
76,5,0,88,7,85,2,59,63,High,At Risk
43,3,4,46,5,40,2,46,41,High,At Risk
89,0,4,39,3,85,0,58,56,High,At Risk
42,6,0,56,0,80,2,37,34,High,At Risk
64,1,1,29,8,73,1,40,34,High,At Risk
60,1,3,65,4,29,4,34,29,High,At Risk
63,0,4,31,2,48,4,29,20,High,At Risk
42,3,0,84,4,59,2,38,41,High,At Risk
45,4,3,26,5,45,2,42,33,High,At Risk
76,6,2,56,7,67,4,51,44,High,At Risk
71,6,1,94,12,51,1,67,74,Medium,C
40,3,0,54,8,64,5,24,20,High,At Risk
93,5,0,67,0,68,5,38,31,High,At Risk
86,2,0,51,8,50,3,39,33,High,At Risk
71,0,1,60,1,25,1,33,33,High,At Risk
97,6,4,77,11,67,3,75,74,Medium,B
87,0,4,37,8,37,5,37,24,High,At Risk
92,3,0,100,9,27,3,52,56,High,At Risk
82,1,1,62,4,60,3,38,34,High,At Risk
84,6,5,66,5,77,2,74,73,Medium,B
54,0,1,42,12,94,0,45,43,High,At Risk
49,0,1,82,7,60,3,34,34,High,At Risk
47,4,2,51,7,59,3,43,37,High,At Risk
56,6,0,36,2,58,5,24,20,High,At Risk
84,4,0,52,5,38,0,52,52,High,At Risk
85,1,2,75,8,26,5,38,33,High,At Risk
59,2,1,28,6,77,4,28,20,High,At Risk
87,4,1,37,7,33,1,51,46,High,At Risk
47,0,0,53,2,45,3,17,20,High,At Risk
63,5,5,35,9,95,2,68,61,Medium,C
98,6,0,27,1,45,5,30,20,High,At Risk
68,6,1,36,12,62,0,59,56,High,At Risk
42,3,0,46,9,75,5,25,20,High,At Risk
65,3,0,73,10,74,1,53,56,High,At Risk
62,1,1,60,4,77,1,42,42,High,At Risk
42,4,4,56,10,57,3,53,48,High,At Risk
66,4,3,32,1,55,3,41,31,High,At Risk
48,3,1,92,3,100,4,40,40,High,At Risk
90,0,3,70,7,89,3,52,50,High,At Risk
62,4,4,66,6,54,1,64,65,Medium,C
41,2,4,53,0,55,0,48,49,High,At Risk
91,3,4,70,12,94,1,77,79,Medium,B
50,0,1,55,4,88,5,20,20,High,At Risk
43,6,1,98,12,69,2,58,64,High,At Risk
99,6,1,47,3,95,2,58,53,High,At Risk
91,5,5,70,9,23,5,63,57,Medium,C
84,2,4,97,2,92,1,70,77,Medium,B
93,6,3,94,4,42,3,65,68,Medium,C
42,0,0,54,9,48,0,35,36,High,At Risk
73,3,0,67,9,45,1,50,51,High,At Risk
61,5,1,66,0,22,1,46,47,High,At Risk
77,5,1,39,8,66,0,61,59,Medium,C
63,5,5,75,9,32,2,70,71,Medium,B
59,2,1,45,11,75,5,31,20,High,At Risk
71,5,2,47,11,91,5,49,38,High,At Risk
96,4,2,53,10,95,1,70,69,Medium,B
64,2,5,62,2,42,5,41,33,High,At Risk
40,5,4,75,12,92,0,75,80,Medium,B
51,4,2,53,10,92,0,63,64,Medium,C
99,3,1,67,11,29,1,60,61,Medium,C
62,2,1,36,11,62,3,37,28,High,At Risk
40,2,1,56,11,28,2,36,33,High,At Risk
56,6,0,25,0,69,3,29,20,High,At Risk
86,3,1,77,7,68,2,56,57,High,At Risk
74,3,0,86,12,93,5,44,41,High,At Risk
88,5,1,45,7,29,0,60,59,Medium,C
58,0,2,58,1,29,2,30,28,High,At Risk
50,3,1,34,8,31,2,35,28,High,At Risk
78,4,3,28,6,41,4,43,31,High,At Risk
96,3,1,31,1,62,1,46,40,High,At Risk
52,3,5,95,11,89,2,72,77,Medium,B
82,2,2,55,1,26,3,37,32,High,At Risk
76,4,3,44,0,66,0,58,57,High,At Risk
67,0,2,86,3,32,0,48,55,High,At Risk
53,1,5,62,1,80,0,58,60,High,At Risk
59,6,3,85,7,53,0,71,78,Medium,B
81,4,3,48,5,68,2,58,54,High,At Risk
51,3,0,58,7,79,2,40,38,High,At Risk
54,6,2,97,0,39,5,40,39,High,At Risk
82,0,0,69,12,89,3,41,39,High,At Risk
88,4,1,95,0,69,4,48,49,High,At Risk
66,4,5,85,9,50,3,68,69,Medium,C
59,0,3,29,8,93,4,34,22,High,At Risk
91,4,5,43,1,77,1,68,65,Medium,C
100,1,1,49,2,25,3,34,28,High,At Risk
45,5,3,50,10,38,4,46,38,High,At Risk
56,2,5,33,1,69,4,38,27,High,At Risk
65,4,2,60,8,78,0,64,66,Medium,C
90,5,4,100,8,73,0,89,98,Low,B+
66,1,1,97,9,94,0,61,70,Medium,C
99,0,4,37,12,56,4,48,37,High,At Risk
96,2,3,58,6,82,4,52,46,High,At Risk
78,3,0,47,4,71,1,45,42,High,At Risk
79,4,5,76,0,70,2,66,67,Medium,C
84,1,0,85,4,67,0,52,59,High,At Risk
61,6,2,64,4,82,5,43,36,High,At Risk
83,0,1,42,4,76,2,37,31,High,At Risk
57,5,3,36,3,76,1,55,50,High,At Risk
98,6,3,87,12,86,2,80,83,Low,B+
92,0,4,45,1,59,5,35,24,High,At Risk
72,3,1,92,9,23,1,57,63,High,At Risk
52,6,1,32,3,24,3,32,22,High,At Risk
43,2,5,50,4,67,3,45,39,High,At Risk
72,3,5,40,10,23,1,63,59,Medium,C
63,3,4,82,2,80,4,51,49,High,At Risk
75,2,2,45,4,31,2,41,36,High,At Risk
41,3,0,45,9,47,1,38,35,High,At Risk
81,1,5,51,4,72,4,49,41,High,At Risk
41,6,5,26,7,36,5,41,26,High,At Risk
51,4,0,53,4,97,2,41,38,High,At Risk
85,5,5,60,6,68,2,73,71,Medium,B
69,2,1,84,4,86,4,41,40,High,At Risk
65,4,0,25,8,67,4,32,20,High,At Risk
81,4,4,61,4,33,3,56,52,High,At Risk
44,2,2,66,4,53,5,28,21,High,At Risk
85,5,2,49,2,86,1,61,59,Medium,C
97,0,4,76,10,60,5,51,46,High,At Risk
48,5,0,88,4,53,3,42,44,High,At Risk
65,3,5,29,9,93,1,65,59,Medium,C
61,5,5,53,10,88,5,60,51,Medium,C
90,3,5,70,8,58,1,75,77,Medium,B
93,5,4,48,4,32,3,59,53,High,At Risk
48,5,2,96,12,43,5,48,47,High,At Risk
